State,County,Total_List,Cancelled,Cancelled_,Postponed,Postponed_,TotalFallout,Total_Fallout_,Pending_OutbidNC,Pending_Sales_Results,BTS_from_total_list,BTS
,Hendry,9,2,22,0,0,2,22,0,0,77.8,7
,Hernando,155,43,28,0,0,43,28,,3,72.3,112
,Highlands,49,7,14,0,0,7,14,0,0,85.7,42
,Hillsborough,1241,538,43,0,0,538,43,,24,56.6,703
,Holmes,3,0,0,,0,0,,0,0,100.0,3
,Indian River,88,34,39,0,0,34,39,0,0,61.4,54
,Jackson,11,5,45,0,0,5,45,,1,54.5,6
,Jefferson,1,0,0,,0,0,,0,0,100.0,1
,Lafayette,3,1,33,0,0,1,33,0,0,66.7,2
,Lake,140,53,38,0,0,53,38,,1,62.1,87
,Lee,274,76,28,0,0,76,28,,2,72.3,198
,Leon,168,52,31,0,0,52,31,,1,69.0,116
,Levy,11,1,9,0,0,1,9,0,0,90.9,10
,Madison,2,0,0,,0,0,,,1,100.0,2
,Manatee,151,55,36,0,0,55,36,,1,63.6,96
,Marion,283,83,29,0,0,83,29,,1,70.7,200
,Martin,75,28,37,0,0,28,37,0,0,62.7,47
,Miami-Dade,2202,1443,66,0,0,1443,66,,21,34.5,759
,Monroe,30,18,60,0,0,18,60,0,0,40.0,12
,Nassau,47,20,43,0,0,20,43,0,0,57.4,27
,Okaloosa,103,40,39,0,0,40,39,,2,61.2,63
,Okeechobee,30,13,43,0,0,13,43,,1,56.7,17
,Orange,1058,508,48,0,0,508,48,,8,52.0,550
,Osceola,180,88,49,0,0,88,49,,4,51.1,92
,Palm Beach,752,388,52,0,0,388,52,,8,48.4,364
,Pasco,605,152,25,0,0,152,25,,13,74.9,453
,Pinellas,968,283,29,0,0,283,29,,13,70.8,685
,Polk,591,193,33,0,0,193,33,,12,67.3,398
,Putnam,31,3,10,0,0,3,10,0,0,90.3,28
,Saint Johns,62,21,34,0,0,21,34,,1,66.1,41
,Saint Lucie,175,58,33,0,0,58,33,,6,66.9,117
,Santa Rosa,178,52,29,0,0,52,29,,2,70.8,126
,Sarasota,231,71,31,0,0,71,31,,1,69.3,160
,Seminole,243,112,46,0,0,112,46,,4,53.9,131
,Sumter,26,5,19,0,0,5,19,0,0,80.8,21
,Suwannee,6,1,17,0,0,1,17,0,0,83.3,5
,Taylor,2,0,0,,0,0,,0,0,100.0,2
,Volusia,494,161,33,0,0,161,33,,7,67.4,333
,Wakulla,12,1,8,0,0,1,8,0,0,91.7,11
,Walton,49,22,45,0,0,22,45,0,0,55.1,27
,Washington,14,3,21,0,0,3,21,0,0,78.6,11
Georgia,,9083,4706,52,0,0,4706,52,0,0,48.2,4377
,Appling,1,1,100,0,0,1,100,0,0,0.0,
,Baker,1,0,0,,0,0,,0,0,100.0,1
,Baldwin,19,8,42,0,0,8,42,0,0,57.9,11
,Banks,15,9,60,0,0,9,60,0,0,40.0,6
,Barrow,84,41,49,0,0,41,49,0,0,51.2,43
,Bartow,106,43,41,0,0,43,41,0,0,59.4,63
,Ben Hill,8,3,38,0,0,3,38,0,0,62.5,5
,Berrien,10,4,40,0,0,4,40,0,0,60.0,6
,Bibb,184,79,43,0,0,79,43,0,0,57.1,105
,Bleckley,4,1,25,0,0,1,25,0,0,75.0,3
,Brantley,7,1,14,0,0,1,14,0,0,85.7,6
,Brooks,9,5,56,0,0,5,56,0,0,44.4,4
,Bryan,24,12,50,0,0,12,50,0,0,50.0,12
,Bulloch,29,15,52,0,0,15,52,0,0,48.3,14
,Burke,7,3,43,0,0,3,43,0,0,57.1,4
,Butts,18,7,39,0,0,7,39,0,0,61.1,11
,Calhoun,4,2,50,0,0,2,50,0,0,50.0,2
,Camden,54,18,33,0,0,18,33,0,0,66.7,36
,Candler,4,2,50,0,0,2,50,0,0,50.0,2
,Carroll,98,44,45,0,0,44,45,0,0,55.1,54
,Catoosa,49,16,33,0,0,16,33,0,0,67.3,33
,Charlton,4,3,75,0,0,3,75,0,0,25.0,1
,Chatham,207,103,50,0,0,103,50,0,0,50.2,104
,Chattahoochee,2,2,100,0,0,2,100,0,0,0.0,
,Chattooga,15,6,40,0,0,6,40,0,0,60.0,9
,Cherokee,177,97,55,0,0,97,55,0,0,45.2,80
,Clarke,42,25,60,0,0,25,60,0,0,40.5,17
,Clayton,524,263,50,0,0,263,50,0,0,49.8,261
,Clinch,1,0,0,,0,0,,0,0,100.0,1
,Cobb,573,344,60,0,0,344,60,0,0,40.0,229
,Coffee,17,9,53,0,0,9,53,0,0,47.1,8
,Colquitt,22,10,45,0,0,10,45,0,0,54.5,12
,Columbia,100,49,49,0,0,49,49,0,0,51.0,51
,Cook,6,2,33,0,0,2,33,0,0,66.7,4
,Coweta,117,68,58,0,0,68,58,0,0,41.9,49
,Crawford,7,4,57,0,0,4,57,0,0,42.9,3
,Crisp,3,1,33,0,0,1,33,0,0,66.7,2
,Dade,6,2,33,0,0,2,33,0,0,66.7,4
,Dawson,18,9,50,0,0,9,50,0,0,50.0,9
,Decatur,15,9,60,0,0,9,60,0,0,40.0,6
,Dekalb,1006,553,55,0,0,553,55,0,0,45.0,453
,Dodge,6,4,67,0,0,4,67,0,0,33.3,2
,Dooly,3,2,67,0,0,2,67,0,0,33.3,1
,Dougherty,66,23,35,0,0,23,35,0,0,65.2,43
,Douglas,189,98,52,0,0,98,52,0,0,48.1,91
,Early,3,1,33,0,0,1,33,0,0,66.7,2
,Echols,2,2,100,0,0,2,100,0,0,0.0,
,Effingham,56,23,41,0,0,23,41,0,0,58.9,33
,Elbert,7,3,43,0,0,3,43,0,0,57.1,4
,Emanuel,6,4,67,0,0,4,67,0,0,33.3,2
,Evans,3,3,100,0,0,3,100,0,0,0.0,
,Fannin,17,9,53,0,0,9,53,0,0,47.1,8
,Fayette,53,32,60,0,0,32,60,0,0,39.6,21
,Floyd,74,24,32,0,0,24,32,0,0,67.6,50
,Forsyth,103,67,65,0,0,67,65,0,0,35.0,36
,Franklin,15,6,40,0,0,6,40,0,0,60.0,9
,Fulton,879,496,56,0,0,496,56,0,0,43.6,383
,Gilmer,20,9,45,0,0,9,45,0,0,55.0,11
,Glascock,3,0,0,,0,0,,0,0,100.0,3
,Glynn,53,26,49,0,0,26,49,0,0,50.9,27
,Gordon,36,17,47,0,0,17,47,0,0,52.8,19
,Grady,9,5,56,0,0,5,56,0,0,44.4,4
,Greene,4,1,25,0,0,1,25,0,0,75.0,3
,Gwinnett,920,552,60,0,0,552,60,0,0,40.0,368
,Habersham,25,8,32,0,0,8,32,0,0,68.0,17
,Hall,126,77,61,0,0,77,61,0,0,38.9,49
,Hancock,2,0,0,,0,0,,0,0,100.0,2
,Haralson,13,4,31,0,0,4,31,0,0,69.2,9
,Harris,18,10,56,0,0,10,56,0,0,44.4,8
,Hart,21,8,38,0,0,8,38,0,0,61.9,13
,Heard,9,3,33,0,0,3,33,0,0,66.7,6
,Henry,388,210,54,0,0,210,54,0,0,45.9,178
,Houston,146,56,38,0,0,56,38,0,0,61.6,90
,Irwin,2,0,0,,0,0,,0,0,100.0,2
,Jackson,38,22,58,0,0,22,58,0,0,42.1,16
,Jasper,18,9,50,0,0,9,50,0,0,50.0,9
,Jeff Davis,9,3,33,0,0,3,33,0,0,66.7,6
,Jefferson,7,3,43,0,0,3,43,0,0,57.1,4
,Jenkins,2,0,0,,0,0,,0,0,100.0,2
,Johnson,2,0,0,,0,0,,0,0,100.0,2
,Jones,30,19,63,0,0,19,63,0,0,36.7,11
,Lamar,11,4,36,0,0,4,36,0,0,63.6,7
,Lanier,4,3,75,0,0,3,75,0,0,25.0,1
,Laurens,21,9,43,0,0,9,43,0,0,57.1,12
,Lee,38,18,47,0,0,18,47,0,0,52.6,20
,Liberty,84,46,55,0,0,46,55,0,0,45.2,38
,Lincoln,3,0,0,,0,0,,0,0,100.0,3
,Long,13,3,23,0,0,3,23,0,0,76.9,10
,Lowndes,76,29,38,0,0,29,38,0,0,61.8,47
,Lumpkin,12,2,17,0,0,2,17,0,0,83.3,10
,Macon,2,1,50,0,0,1,50,0,0,50.0,1
,Madison,21,9,43,0,0,9,43,0,0,57.1,12
,Marion,2,0,0,,0,0,,0,0,100.0,2
,Mc Intosh,2,0,0,,0,0,,0,0,100.0,2
,McDuffie,11,3,27,0,0,3,27,0,0,72.7,8
,Mcintosh,3,2,67,0,0,2,67,0,0,33.3,1
,Meriwether,20,7,35,0,0,7,35,0,0,65.0,13
,Miller,2,1,50,0,0,1,50,0,0,50.0,1
,Mitchell,13,8,62,0,0,8,62,0,0,38.5,5
,Monroe,17,6,35,0,0,6,35,0,0,64.7,11
,Montgomery,1,0,0,,0,0,,0,0,100.0,1
,Morgan,9,5,56,0,0,5,56,0,0,44.4,4
,Murray,19,8,42,0,0,8,42,0,0,57.9,11
,Muscogee,158,74,47,0,0,74,47,0,0,53.2,84
,Newton,194,106,55,0,0,106,55,0,0,45.4,88
,Oconee,18,15,83,0,0,15,83,0,0,16.7,3
,Oglethorpe,8,6,75,0,0,6,75,0,0,25.0,2
,Paulding,263,133,51,0,0,133,51,0,0,49.4,130
,Peach,29,14,48,0,0,14,48,0,0,51.7,15
,Pickens,18,7,39,0,0,7,39,0,0,61.1,11
,Pierce,5,1,20,0,0,1,20,0,0,80.0,4
,Pike,10,6,60,0,0,6,60,0,0,40.0,4
,Polk,38,13,34,0,0,13,34,0,0,65.8,25
,Pulaski,7,2,29,0,0,2,29,0,0,71.4,5
,Putnam,19,10,53,0,0,10,53,0,0,47.4,9
,Rabun,10,5,50,0,0,5,50,0,0,50.0,5
,Randolph,1,1,100,0,0,1,100,0,0,0.0,
,Richmond,246,125,51,0,0,125,51,0,0,49.2,121
,Rockdale,156,85,54,0,0,85,54,0,0,45.5,71
,Schley,2,1,50,0,0,1,50,0,0,50.0,1
,Screven,4,1,25,0,0,1,25,0,0,75.0,3
,Seminole,2,1,50,0,0,1,50,0,0,50.0,1
,Spalding,62,28,45,0,0,28,45,0,0,54.8,34
,Stephens,12,5,42,0,0,5,42,0,0,58.3,7
,Stewart,3,0,0,,0,0,,0,0,100.0,3
,Sumter,20,7,35,0,0,7,35,0,0,65.0,13
,Talbot,2,2,100,0,0,2,100,0,0,0.0,
,Tattnall,8,4,50,0,0,4,50,0,0,50.0,4
,Taylor,2,2,100,0,0,2,100,0,0,0.0,
,Telfair,9,2,22,0,0,2,22,0,0,77.8,7
,Terrell,3,2,67,0,0,2,67,0,0,33.3,1
,Thomas,36,14,39,0,0,14,39,0,0,61.1,22
,Tift,12,3,25,0,0,3,25,0,0,75.0,9
,Toombs,11,2,18,0,0,2,18,0,0,81.8,9
,Towns,9,3,33,0,0,3,33,0,0,66.7,6
,Treutlen,1,0,0,,0,0,,0,0,100.0,1
,Troup,59,29,49,0,0,29,49,0,0,50.8,30
,Turner,4,1,25,0,0,1,25,0,0,75.0,3
,Twiggs,6,3,50,0,0,3,50,0,0,50.0,3
,Union,11,4,36,0,0,4,36,0,0,63.6,7
,Upson,18,6,33,0,0,6,33,0,0,66.7,12
,Walker,38,15,39,0,0,15,39,0,0,60.5,23
,Walton,95,51,54,0,0,51,54,0,0,46.3,44
,Ware,13,3,23,0,0,3,23,0,0,76.9,10
,Warren,2,0,0,,0,0,,0,0,100.0,2
,Washington,4,0,0,,0,0,,0,0,100.0,4
,Wayne,16,6,38,0,0,6,38,0,0,62.5,10
,White,22,9,41,0,0,9,41,0,0,59.1,13
,Whitfield,39,18,46,0,0,18,46,0,0,53.8,21
,Wilkes,3,1,33,0,0,1,33,0,0,66.7,2
,Wilkinson,2,1,50,0,0,1,50,0,0,50.0,1
,Worth,9,3,33,0,0,3,33,0,0,66.7,6
Idaho,,822,221,27,416,51,637,77,0,0,22.5,185
,Ada,224,65,29,125,56,190,85,0,0,15.2,34
,Bannock,61,21,34,26,43,47,77,0,0,23.0,14
,Bear Lake,1,1,100,0,0,1,100,0,0,0.0,
,Benewah,3,1,33,0,0,1,33,0,0,66.7,2
,Bingham,17,5,29,9,53,14,82,0,0,17.6,3
,Blaine,7,1,14,6,86,7,100,0,0,0.0,
,Boise,4,2,50,2,50,4,100,0,0,0.0,
,Bonner,5,2,40,2,40,4,80,0,0,20.0,1
,Bonneville,92,19,21,50,54,69,75,0,0,25.0,23
,Boundary,2,1,50,0,0,1,50,0,0,50.0,1
,Butte,3,1,33,0,0,1,33,0,0,66.7,2
,Canyon,95,27,28,38,40,65,68,0,0,31.6,30
,Caribou,5,1,20,1,20,2,40,0,0,60.0,3
,Cassia,2,0,0,1,50,1,50,0,0,50.0,1
,Clearwater,2,1,50,0,0,1,50,0,0,50.0,1
,Custer,2,1,50,0,0,1,50,0,0,50.0,1
,Elmore,5,1,20,0,0,1,20,0,0,80.0,4
,Franklin,2,1,50,0,0,1,50,0,0,50.0,1
,Fremont,1,0,0,1,100,1,100,0,0,0.0,
,Gem,3,1,33,1,33,2,67,0,0,33.3,1
,Gooding,3,0,0,2,67,2,67,0,0,33.3,1
